Run	Coalescent time	First ascertained	First unascertained	First hospitalized	infections
0207	0.004758	0.011892	0.012118	0.023293	3
0208	0.091728	0.070223	0.018704	0.106837	12
0209	0.004749999999999999	0.04005	0.000771	0.060481	2
0210	0.031772999999999996	0.0561	0.010747	0.064639	4
0211	0.012504999999999999	0.013275	0.002873	0.034124	4
0212	0.032971	0.054283	0.010515	0.073927	11
0213	0.010321	0.024363	0.007257	0.039905	2
0214	0.08834800000000001	0.001604	0.037233	0.062101	12
0215	0.07749299999999999	0.002071	0.012984	0.04676	9
0216	0.036299	0.028873	0.025988	0.091047	4
0217	0.024783999999999997	0.02079	0.003163	0.083433	4
0218	0.020253	0.013808	0.002391	0.065001	7
0219	0.057735	0.067757	0.011853	0.081128	14
0220	0.005835	0.02115	0.011389	0.059716	2
0221	0.0016469999999999998	0.000808	0.011168	0.018825	3
0222	0.05152	0.001964	0.009648	0.087646	18
0223	0.013787	0.014775	0.002422	0.041666	4
0224	0.015525	0.009813	0.010384	0.05004	5
0225	0.010956	0.000598	0.014507	0.025799	5
0226	0.029148	0.046999	0.002518	0.071151	10
0227	0.034242	0.008133	0.011799	0.095185	16
0228	0.014908999999999999	0.025942	0.002656	0.041099	2
0229	0.09175	0.000555	0.067974	0.049557	5
0230	0.004156	0.023427	0.004191	0.036799	2
0231	0.013883	0.012569	0.001379	0.02151	7
0232	0.056957	0.044809	0.00759	0.091516	17
0233	0.029617	0.049123	0.004896	0.071828	2
0234	0.000284	0.001222	0.014938	0.071578	2
0235	0.0	0.006458	0.013832	0.048775	1
0236	0.027381000000000003	0.016902	0.00407	0.055899	4
0237	0.050527999999999997	0.030629	0.008223	0.051132	6
0238	0.000214	0.033049	0.007497	0.049242	1
0239	0.079751	0.022888	0.001235	0.126201	8
0240	0.020779	0.064659	0.021161	0.089724	1
0241	0.050874	0.064047	0.002436	0.092932	3
0242	0.024386	0.019863	0.00271	0.081914	3
0243	0.009651999999999999	0.024422	0.007373	0.069712	2
0244	0.006951	0.004386	0.033203	0.040929	2
0245	0.072075	0.003246	0.016023	0.027825	12
0246	0.020863	0.026593	0.007339	0.050104	16
0247	0.0053690000000000005	0.032803	0.000266	0.084257	2
0248	0.089576	0.036877	0.020537	0.133839	8
0249	0.035477999999999996	0.077062	0.001311	0.122932	3
0250	0.031627999999999996	0.028663	0.016182	0.049653	8
0251	0.024661	0.049327	0.000312	0.050041	6
0252	0.082476	0.155425	0.0024	0.192295	5
0253	0.071868	0.015779	0.003747	0.042617	30
0254	0.020062	0.019644	0.008734	0.042062	2
0255	0.058423	0.011723	0.102042	0.070078	3
0256	0.023666	0.024158	9.7e-05	0.042638	3
0257	0.046262	0.060608	0.006457	0.083525	7
0258	0.040436	0.066275	0.001665	0.085534	4
0259	0.053243	0.005595	0.050806	0.029596	8
0260	0.000114	0.039576	0.010732	0.061763	3
0261	0.010625	0.003332	0.024604	0.067084	1
0262	0.022924	0.066113	0.0017	0.075188	4
0263	0.04978099999999999	0.089801	0.019177	0.115941	7
0264	0.052649	0.032126	0.004229	0.088899	5
0265	0.010631999999999999	0.040416	0.000236	0.07112	3
0266	0.022348	0.02973	0.015197	0.063809	9
0267	0.054675999999999995	0.001702	0.00835	0.086429	11
0268	0.023285	0.003023	0.03369	0.091211	2
0269	0.002098	0.022127	0.000643	0.032288	1
0270	0.005189	0.034897	0.000498	0.049688	2
0271	0.011112	0.044624	0.014509	0.05735	2
0272	0.029924	0.032972	0.003754	0.047758	5
0273	0.012738	0.02409	0.01476	0.048069	3
0274	0.03811	0.037328	0.001212	0.090302	4
0275	0.045297000000000004	0.029301	0.006317	0.117532	11
0276	0.061794	0.065335	0.00685	0.078971	40
0277	0.031534000000000006	0.036128	0.004663	0.045999	4
0278	0.014329999999999999	0.010347	0.018124	0.064279	3
0279	0.012695	0.016318	0.000246	0.052504	2
0280	0.02932	0.04031	0.004295	0.067962	5
0281	0.004774	0.01859	0.008537	0.063298	3
0282	0.029249999999999998	0.077378	0.00039	0.117731	7
0283	7.2e-05	0.006204	0.009369	0.05567	2
0284	0.066373	0.042588	0.019493	0.051666	19
0285	0.003393	0.006309	0.016053	0.042412	4
0286	0.005887	0.034309	0.00384	0.04549	2
0287	0.024194999999999998	0.041854	0.021896	0.049068	4
0288	0.000477	0.031259	0.006511	0.057244	2
0289	0.081396	0.019446	0.000416	0.125964	10
0290	0.051878	0.01594	0.020126	0.078384	10
0291	0.048548	0.067071	0.028346	0.143259	4
0292	0.003751	0.037169	0.00024	0.06675	1
0293	0.011371000000000001	0.050131	0.004039	0.081254	3
0294	0.115068	0.042325	0.008978	0.143417	26
0295	0.012051	0.036128	0.003257	0.060908	4
0296	0.000128	0.013491	0.038876	0.064704	1
0297	0.000196	0.047481	0.009701	0.077528	3
0298	0.012964	0.054633	0.0237	0.111876	2
0299	0.0005449999999999999	0.022226	0.007398	0.034755	2
0300	0.042861	0.043067	0.011267	0.07171	4
